;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
120;Casa;Pueblo Libre;6;1;0;750;18000.0;;1200.0
121;Casa;Santiago de Surco;6;5;5;1000;13000.0;;
122;Casa comercial;Chorrillos;0;6;0;261;18000.0;;
123;Casa;Lince;2;1;0;80;1200.0;;
124;Casa en condominio;Villa El Salvador;2;1;0;61;1450.0;667.0;27.0
125;Casa en condominio;Ate;4;4;2;746;13000.0;510.0;4910.0
126;Habitación;San Borja;1;0;0;30;1600.0;550.0;71.0
127;Casa en condominio;Ate;4;4;3;350;5900.0;300.0;
128;Casa comercial;San Borja;0;0;0;45;18000.0;550.0;390.0
129;Casa de villa;Chorrillos;4;2;1;210;8000.0;378.0;270.0
130;Casa de villa;El Agustino;2;0;0;53;900.0;;
131;Casa;Ate;5;4;2;600;8000.0;;
132;Casa en condominio;Callao;3;2;3;240;4000.0;1200.0;320.0
133;Habitación;Pachacámac;1;0;0;40;1100.0;500.0;
134;Casa;Cieneguilla;3;1;0;69;1600.0;;
135;Casa en condominio;Ate;4;4;4;300;9000.0;805.0;
136;Casa en condominio;Ate;4;4;4;340;9000.0;706.0;8024.0
137;Casa comercial;Santa Rosa;0;0;0;148;3500.0;260.0;
138;Casa comercial;Pachacámac;0;0;0;150;11000.0;;864.0
139;Casa comercial;Pueblo Libre;4;0;0;241;14000.0;;2195.0
140;Habitación;San Borja;0;0;0;17;1000.0;520.0;227.0
141;Casa de villa;Chaclacayo;2;1;0;52;1400.0;50.0;
142;Habitación;San Borja;0;0;0;25;1500.0;335.0;25.0
143;Habitación;Chorrillos;1;0;0;30;2100.0;366.0;250.0
144;Habitación;Chorrillos;1;0;0;25;1000.0;440.0;25.0
145;Casa en condominio;Jesús María;4;2;3;300;3600.0;510.0;
146;Casa;Lurigancho;4;1;4;387;25000.0;;582.0
147;Habitación;Pachacámac;1;0;0;26;1500.0;490.0;
148;Habitación;Pachacámac;1;0;0;34;1000.0;415.0;
149;Casa en condominio;Ate;4;2;4;800;15000.0;2000.0;
150;Casa comercial;Jesús María;0;1;0;38;2000.0;500.0;
151;Casa en condominio;Jesús María;4;5;1;350;6000.0;862.0;210.0
152;Habitación;Comas;1;0;0;45;3650.0;600.0;
153;Casa en condominio;Ate;5;4;5;700;16000.0;2150.0;17000.0
154;Casa;Lurigancho;4;5;4;845;35000.0;;
155;Casa en condominio;Lince;1;1;0;60;780.0;240.0;
156;Casa en condominio;Villa El Salvador;4;6;4;500;7000.0;2400.0;
157;Habitación;Comas;1;0;0;27;1500.0;528.0;
158;Casa en condominio;Lince;2;1;0;70;1000.0;260.0;
159;Casa en condominio;Ate;6;2;6;556;20000.0;1050.0;
160;Casa de villa;Lince;2;0;0;100;850.0;;
161;Habitación;Pachacámac;1;1;1;37;1100.0;370.0;25.0
162;Casa en condominio;Ate;6;0;4;800;17000.0;2695.0;2220.0
163;Casa;Lurín;3;2;1;317;5000.0;;2221.0
164;Casa;Ate;2;1;0;60;1050.0;;5.0
165;Casa comercial;San Luis;0;0;0;124;4000.0;;2700.0
166;Habitación;Villa El Salvador;0;0;0;32;1800.0;350.0;
167;Habitación;Rímac;1;0;1;32;2000.0;650.0;84.0
168;Casa en condominio;Villa El Salvador;2;2;1;90;1900.0;550.0;250.0
169;Casa en condominio;Ate;5;3;5;700;25000.0;;
170;Casa en condominio;Villa El Salvador;3;2;1;160;3900.0;;
171;Casa;Santiago de Surco;5;4;3;350;16000.0;;500.0
172;Casa;Pueblo Libre;2;0;0;60;800.0;;
173;Casa;Chorrillos;3;0;1;159;1400.0;;100.0
174;Casa en condominio;Jesús María;4;3;2;630;8000.0;945.0;530.0
175;Casa en condominio;Ate;5;2;2;450;8500.0;850.0;5500.0
176;Habitación;San Borja;1;0;0;40;2000.0;400.0;24.0
177;Casa;Santa María del Mar;2;0;0;100;2500.0;;
178;Casa en condominio;Ate;5;4;5;700;25000.0;2000.0;1000.0
179;Habitación;Comas;1;0;0;30;1200.0;400.0;29.0
180;Habitación;San Borja;1;0;0;33;1450.0;350.0;56.0
181;Casa;San Miguel;2;0;0;50;2100.0;100.0;
182;Casa en condominio;Ate;4;3;4;1100;15000.0;2000.0;
183;Habitación;San Luis;1;0;0;38;750.0;;
184;Casa comercial;Comas;0;1;0;200;18000.0;5500.0;1550.0
185;Habitación;San Borja;1;0;0;30;1000.0;300.0;30.0
186;Habitación;Punta Hermosa;0;0;0;23;800.0;550.0;
187;Habitación;San Bartolo;0;0;0;26;1200.0;505.0;
188;Habitación;San Borja;1;0;0;26;1400.0;655.0;54.0
189;Casa en condominio;Ate;5;8;5;1150;60000.0;2000.0;1700.0
190;Casa en condominio;Mi Perú;4;3;2;400;4500.0;380.0;1200.0
191;Casa en condominio;Ate;5;4;5;750;30000.0;2100.0;18000.0
192;Casa en condominio;Ancón;2;1;0;50;700.0;180.0;
193;Casa en condominio;Jesús María;4;4;4;680;12000.0;1688.0;
194;Casa;Lince;2;1;0;60;1500.0;;
195;Casa;Santiago de Surco;1;0;0;40;900.0;;
196;Habitación;San Borja;0;0;0;40;1600.0;400.0;48.0
197;Habitación;San Borja;1;0;0;30;1200.0;320.0;54.0
198;Casa comercial;Breña;0;1;0;262;10000.0;;467.0
199;Casa en condominio;San Luis;4;2;3;125;3000.0;513.0;
200;Casa en condominio;Jesús María;4;3;4;280;6000.0;860.0;478.0
201;Casa;La Perla;4;4;2;450;14000.0;;7200.0
202;Casa en condominio;Ancón;2;1;2;70;1600.0;;
203;Habitación;La Perla;1;0;1;50;1800.0;;
204;Casa;Lince;2;1;0;70;1000.0;;
205;Casa en condominio;Ate;5;3;5;788;18000.0;2000.0;2100.0
206;Casa;Ventanilla;2;0;0;96;2000.0;;40.0
207;Habitación;Lurín;1;0;0;31;1300.0;370.0;56.0
208;Casa de villa;Ventanilla;2;0;0;55;1800.0;;225.0
209;Casa en condominio;Ate;4;3;4;168;4000.0;1160.0;3012.0
210;Habitación;San Borja;0;1;0;33;1700.0;370.0;
211;Casa de villa;El Agustino;2;0;0;58;900.0;;
212;Casa;Independencia;2;0;0;80;950.0;;
213;Casa comercial;Santa Anita;0;0;0;271;8000.0;;724.0
214;Habitación;Punta Hermosa;1;0;0;26;700.0;450.0;
215;Casa comercial;Chorrillos;4;0;0;161;8500.0;;523.0
216;Habitación;San Borja;1;0;0;40;4000.0;460.0;230.0
217;Casa en condominio;Ate;5;4;5;600;25000.0;;
218;Habitación;San Borja;1;0;0;35;2500.0;550.0;
219;Casa;Lince;3;0;2;120;1000.0;;
220;Casa;Lima;3;1;0;102;2100.0;;1200.0
221;Casa;La Perla;4;2;3;250;16000.0;;400.0
222;Casa comercial;Chorrillos;0;0;0;270;7000.0;;800.0
223;Casa en condominio;San Luis;4;2;3;200;3000.0;300.0;
224;Casa en condominio;Ate;5;2;5;700;25000.0;;1800.0
225;Casa;Independencia;1;0;0;40;800.0;;
226;Casa;Callao;3;2;0;213;2700.0;510.0;190.0
227;Casa de villa;Santa Anita;2;1;0;85;1400.0;180.0;
228;Casa en condominio;Ate;4;5;4;1000;28009.0;1600.0;15000.0
229;Casa;Lince;4;5;1;596;4000.0;;7627.0
230;Casa;San Luis;4;2;1;550;8000.0;;
231;Habitación;Pachacámac;0;0;0;30;900.0;400.0;
232;Casa;Jesús María;2;1;2;212;6500.0;1363.0;287.0
233;Casa de villa;Santa Anita;2;1;1;65;1800.0;;
234;Casa en condominio;Ate;4;3;3;280;7800.0;1495.0;
235;Habitación;Pachacámac;1;0;0;28;900.0;350.0;20.0
236;Casa comercial;Chorrillos;6;0;0;322;12000.0;;252.0
237;Habitación;San Borja;1;0;0;40;1100.0;450.0;50.0
238;Casa comercial;San Luis;0;0;0;350;8000.0;;670.0
239;Casa en condominio;Callao;2;1;1;98;1500.0;50.0;50.0
240;Habitación;San Borja;0;0;0;28;1300.0;603.0;53.0
241;Casa de villa;Callao;2;0;0;68;1200.0;65.0;135.0
242;Casa en condominio;Rímac;5;0;5;850;30000.0;1500.0;2600.0
243;Casa en condominio;Ate;5;0;3;270;20000.0;1150.0;650.0
244;Casa;San Bartolo;1;0;0;65;800.0;;
245;Habitación;San Borja;1;0;0;23;1400.0;300.0;
246;Casa en condominio;Ate;4;4;4;806;24000.0;2081.0;2300.0
247;Casa;Lince;2;0;0;70;1100.0;;
248;Habitación;Pucusana;1;0;0;20;700.0;303.0;14.0
249;Habitación;Pachacámac;1;0;0;20;1090.0;300.0;15.0
250;Casa en condominio;Lince;4;0;4;400;12000.0;800.0;600.0
251;Habitación;Pachacámac;0;0;0;25;650.0;435.0;
252;Casa;Lince;3;4;3;363;;;
253;Casa de villa;Santa Anita;3;1;1;80;2300.0;;
254;Casa en condominio;Ate;5;3;0;900;20000.0;1308.0;1601.0
255;Casa;Jesús María;4;5;3;222;5800.0;638.0;354.0
256;Casa;Lince;3;1;0;100;1500.0;;
257;Casa;Jesús María;4;2;4;900;14000.0;1170.0;
258;Casa de villa;Jesús María;3;2;3;284;4500.0;920.0;359.0
259;Casa;Barranco;2;0;0;65;800.0;;
260;Casa;Ancón;2;2;0;120;1580.0;;
261;Habitación;Villa El Salvador;1;0;0;30;2150.0;260.0;25.0
262;Habitación;Pachacámac;1;0;0;22;750.0;330.0;25.0
263;Casa de villa;Ancón;2;1;0;100;1100.0;;
264;Habitación;San Borja;1;0;0;30;5000.0;600.0;
265;Casa;Ventanilla;2;0;0;52;1500.0;;
266;Casa en condominio;Lince;2;0;0;75;1500.0;360.0;
267;Casa;Santa Anita;2;1;0;90;1800.0;;
268;Casa en condominio;Ate;4;4;4;869;24000.0;2214.0;2376.0
269;Casa en condominio;Ate;4;4;4;300;14000.0;1200.0;350.0
270;Habitación;Pachacámac;1;0;0;32;700.0;480.0;90.0
271;Habitación;San Borja;1;0;0;30;1100.0;423.0;242.0
272;Casa en condominio;Jesús María;4;3;4;161;5000.0;900.0;2200.0
273;Casa;Lince;2;1;0;80;2000.0;;
274;Casa en condominio;Villa El Salvador;4;1;2;180;2300.0;;20.0
275;Casa comercial;Ate;0;4;0;360;8500.0;;160.0
276;Casa de villa;Pucusana;2;0;0;120;2000.0;;
277;Casa en condominio;Ate;4;4;4;700;15000.0;2400.0;18000.0
278;Habitación;San Borja;1;0;0;40;1600.0;550.0;69.0
279;Casa en condominio;Ate;5;2;5;900;30000.0;1900.0;1400.0
280;Casa;Pachacámac;2;3;0;142;1600.0;;
281;Habitación;Lurín;1;0;0;23;1350.0;320.0;25.0
282;Casa;Villa María del Triunfo;3;0;1;100;2800.0;380.0;
283;Habitación;Punta Hermosa;0;0;0;24;1100.0;430.0;
284;Habitación;Chorrillos;0;0;0;18;700.0;366.0;30.0
285;Casa en condominio;Ate;4;4;4;800;30000.0;2700.0;18300.0
286;Casa;Punta Hermosa;2;0;0;46;1850.0;179.0;29.0
287;Casa en condominio;Lince;2;2;0;200;1100.0;280.0;
288;Casa en condominio;Ate;5;3;4;407;9000.0;1049.0;8426.0
289;Casa en condominio;Ate;4;7;4;496;20000.0;1500.0;1306.0
290;Casa;Lince;4;1;4;100;1600.0;;
291;Habitación;Chaclacayo;1;0;0;22;800.0;313.0;25.0
292;Casa;Ventanilla;3;0;0;100;3000.0;;219.0
293;Casa en condominio;Jesús María;4;2;4;200;4800.0;850.0;4500.0
294;Casa;Lince;2;0;0;65;1500.0;;
295;Casa comercial;Ate;0;12;0;1150;70000.0;;
296;Casa;Breña;3;2;1;234;10000.0;;305.0
297;Habitación;San Borja;1;0;0;38;1500.0;430.0;
298;Casa;Lince;2;0;0;70;1500.0;;
299;Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
300;Casa en condominio;Jesús María;5;4;5;865;20000.0;1900.0;1990.0
301;Casa;Santa María del Mar;4;3;0;120;1500.0;;
302;Casa;Callao;5;0;5;1000;20000.0;;
303;Casa en condominio;Rímac;4;4;4;653;15000.0;3473.0;
304;Casa;San Luis;3;3;1;130;3800.0;;
305;Habitación;Pachacámac;1;0;0;33;800.0;570.0;
306;Casa de villa;Comas;2;0;0;59;1000.0;15.0;13.0
307;Habitación;Pachacámac;1;0;0;35;700.0;312.0;28.0
308;Casa;Ate;6;3;4;273;22000.0;2300.0;25000.0
309;Casa;Pucusana;3;0;3;350;6500.0;1900.0;10000.0
310;Casa;La Perla;6;5;6;800;30000.0;1500.0;180.0
311;Habitación;Lurín;1;0;0;20;1190.0;450.0;22.0
312;Casa;Ancón;2;1;0;80;1100.0;;12.0
313;Habitación;San Borja;1;0;0;40;1500.0;454.0;74.0
314;Habitación;Chorrillos;1;0;0;20;980.0;500.0;29.0
315;Casa en condominio;Villa María del Triunfo;3;2;3;175;2500.0;150.0;
316;Habitación;Pachacámac;1;0;0;36;900.0;325.0;
317;Habitación;San Borja;1;0;1;32;2000.0;406.0;56.0
318;Casa comercial;Lurigancho;0;0;0;121;8000.0;;1429.0
319;Casa en condominio;Rímac;5;0;5;900;30000.0;1500.0;
320;Casa;Villa El Salvador;4;2;2;270;4000.0;350.0;
321;Casa en condominio;Ate;3;0;3;680;15000.0;1150.0;800.0
322;Casa;Carmen de La Legua;9;8;4;870;15000.0;770.0;480.0
323;Casa;Santiago de Surco;4;0;4;491;19900.0;;6000.0
324;Casa;Callao;4;3;3;190;2900.0;805.0;157.0
325;Casa en condominio;Ate;6;5;0;906;22000.0;2900.0;2519.0
326;Habitación;Villa El Salvador;1;0;0;35;2300.0;380.0;
327;Habitación;Punta Hermosa;1;0;0;24;1000.0;456.0;29.0
328;Habitación;Pachacámac;0;0;0;32;400.0;1000.0;146.0
329;Casa en condominio;Villa El Salvador;5;6;5;304;8000.0;1680.0;2105.0
330;Casa en condominio;Ate;6;6;6;900;12000.0;2000.0;18000.0
331;Casa de villa;Lurigancho;1;0;0;35;2500.0;370.0;27.0
332;Casa;Carabayllo;2;1;0;50;1300.0;;1.0
333;Habitación;Pachacámac;1;0;0;30;800.0;390.0;
334;Casa de villa;Santa Anita;4;0;1;85;1600.0;;
335;Habitación;Santiago de Surco;1;0;0;21;550.0;200.0;
336;Casa;Los Olivos;3;0;0;180;900.0;;
337;Casa;El Agustino;3;0;0;11;1200.0;;
338;Habitación;Pachacámac;1;0;0;31;1000.0;465.0;106.0
339;Casa en condominio;Ate;7;8;7;913;30000.0;2882.0;
340;Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
341;Casa en condominio;Mi Perú;2;1;0;60;900.0;300.0;
342;Habitación;Villa El Salvador;1;0;0;51;1800.0;680.0;
343;Casa en condominio;Ate;5;6;4;1000;32000.0;3000.0;1700.0
344;Casa en condominio;Callao;3;1;1;163;2000.0;92.0;46.0
345;Casa en condominio;Jesús María;3;3;1;350;12000.0;1485.0;250.0
346;Casa;Mi Perú;3;0;1;210;2750.0;;
347;Habitación;San Borja;1;0;0;10;800.0;;60.0
348;Habitación;Los Olivos;0;0;0;34;790.0;240.0;
349;Habitación;San Borja;1;0;1;29;1500.0;542.0;24.0
350;Casa;Lince;2;1;0;70;1350.0;;
351;Casa en condominio;Ate;7;5;6;850;20000.0;2340.0;15000.0
352;Casa en condominio;Ate;5;0;2;600;10000.0;800.0;1000.0
353;Habitación;San Borja;1;0;0;34;1400.0;504.0;
354;Casa en condominio;Ate;5;4;5;805;20000.0;1700.0;14000.0
355;Casa en condominio;Jesús María;3;3;1;370;7000.0;1000.0;
356;Casa en condominio;Jesús María;5;4;4;280;7500.0;1500.0;400.0
357;Casa;Ate;4;4;4;450;9000.0;1123.0;
358;Casa;Ate;5;3;4;800;7500.0;2100.0;
359;Habitación;Pachacámac;1;0;0;27;850.0;143.0;24.0
360;Casa de villa;San Miguel;1;0;0;30;850.0;;
361;Casa en condominio;Ate;5;2;0;358;10000.0;2333.0;9900.0
362;Habitación;San Borja;0;0;0;35;1300.0;492.0;54.0
363;Habitación;San Borja;1;0;0;26;900.0;470.0;24.0
364;Casa;Chorrillos;2;1;0;81;1100.0;;15.0
365;Casa en condominio;Ate;4;5;4;500;13000.0;2500.0;2000.0
366;Casa;Ate;4;2;1;213;6760.0;1010.0;1096.0
367;Casa en condominio;Villa El Salvador;2;4;2;150;4000.0;180.0;50.0
368;Casa en condominio;Jesús María;4;4;3;550;8000.0;900.0;600.0
369;Habitación;Comas;1;0;0;35;1800.0;534.0;87.0
370;Casa comercial;Chorrillos;0;2;0;380;15000.0;;
371;Habitación;San Borja;1;0;0;30;1400.0;614.0;
372;Casa comercial;Chorrillos;0;0;0;427;10000.0;;2864.0
373;Casa;Mi Perú;6;5;2;279;3500.0;;390.0
374;Casa de villa;Mi Perú;1;0;0;60;1100.0;80.0;
375;Casa comercial;La Punta;0;4;0;130;15600.0;2724.0;194.0
376;Casa de villa;Ventanilla;2;0;0;80;1900.0;;73.0
377;Casa en condominio;Jesús María;4;3;2;250;4500.0;605.0;
378;Casa;Ate;5;5;4;925;22000.0;3129.0;47.0
379;Casa en condominio;Callao;4;2;4;253;2500.0;180.0;240.0
380;Casa;Callao;6;10;1;475;10000.0;;
381;Casa comercial;Chorrillos;0;6;0;500;23000.0;450.0;800.0
382;Casa en condominio;Pucusana;2;0;0;72;1400.0;820.0;70.0
383;Casa en condominio;Jesús María;5;0;5;950;15000.0;1950.0;2500.0
384;Casa comercial;Chorrillos;0;0;0;120;4500.0;;761.0
385;Casa de villa;Pachacámac;5;0;1;160;5500.0;50.0;680.0
386;Casa en condominio;La Perla;3;1;1;150;5000.0;3100.0;544.0
387;Casa en condominio;Barranco;2;1;0;59;1200.0;260.0;
388;Habitación;San Borja;1;0;0;25;1400.0;480.0;25.0
389;Casa en condominio;Lince;2;2;0;90;2000.0;100.0;30.0
390;Casa comercial;Ate;0;0;0;341;15000.0;;
391;Casa de villa;San Martín de Porres;1;0;0;88;750.0;76.0;
392;Casa;Independencia;1;1;0;40;600.0;;
393;Casa en condominio;Lince;2;1;0;90;1300.0;441.0;262.0
394;Casa comercial;La Punta;0;0;0;175;3800.0;;446.0
395;Casa;El Agustino;2;0;0;65;1300.0;;
396;Casa en condominio;Ate;6;3;4;400;15000.0;1759.0;
397;Casa de villa;Callao;2;1;2;69;1400.0;30.0;13.0
398;Habitación;Carmen de La Legua;1;0;0;25;500.0;;
399;Habitación;San Borja;1;0;0;30;1400.0;450.0;100.0
400;Casa;Mi Perú;2;1;0;70;1300.0;;18.0
401;Casa;Lince;2;1;0;75;1000.0;;
402;Habitación;San Borja;1;0;0;22;1000.0;510.0;29.0
403;Casa;Lince;1;0;0;40;450.0;;
404;Habitación;San Borja;1;0;0;28;1600.0;300.0;
405;Habitación;San Borja;1;0;0;22;950.0;430.0;67.0
406;Casa comercial;La Perla;1;0;0;15;750.0;;
407;Casa en condominio;Ate;5;4;2;360;8400.0;500.0;8000.0
408;Habitación;San Borja;1;0;0;30;2000.0;;
409;Habitación;San Borja;0;0;0;31;1500.0;455.0;58.0
410;Casa en condominio;Jesús María;4;0;3;300;6000.0;1520.0;800.0
411;Habitación;San Borja;0;0;0;30;900.0;326.0;29.0
412;Habitación;San Miguel;1;0;0;25;900.0;385.0;200.0
413;Habitación;San Bartolo;1;0;0;25;1000.0;550.0;25.0
414;Casa de villa;San Luis;3;1;2;107;1900.0;120.0;78.0
415;Habitación;San Borja;1;0;0;29;1000.0;550.0;
416;Habitación;San Borja;1;0;0;30;2000.0;675.0;75.0
417;Casa comercial;Chorrillos;0;1;0;350;18000.0;;2580.0
418;Casa de villa;San Bartolo;2;1;0;50;980.0;;
419;Casa en condominio;Lince;2;1;2;80;1200.0;150.0;
420;Habitación;San Borja;1;0;0;29;1500.0;500.0;
421;Habitación;Pucusana;1;0;0;20;1200.0;330.0;14.0
422;Casa en condominio;San Isidro;2;0;0;70;900.0;;68.0
423;Casa en condominio;Ate;3;5;3;681;20000.0;1907.0;18098.0
424;Casa en condominio;Ate;4;2;2;316;10000.0;1100.0;8341.0
425;Casa;Lima;3;0;1;200;1100.0;159.0;
426;Casa en condominio;Jesús María;5;0;3;500;18000.0;800.0;
